Location,Period,Indicator,First Tooltip
Dominican Republic,2012,Men who have sex with men (MSM) with active syphilis (%),12.9
Dominican Republic,2008,Men who have sex with men (MSM) with active syphilis (%),6.99
Dominican Republic,2007,Men who have sex with men (MSM) with active syphilis (%),6.99
Ecuador,2010,Men who have sex with men (MSM) with active syphilis (%),6.2
El Salvador,2018,Men who have sex with men (MSM) with active syphilis (%),17.6
El Salvador,2017,Men who have sex with men (MSM) with active syphilis (%),15.5
El Salvador,2016,Men who have sex with men (MSM) with active syphilis (%),8.9
El Salvador,2014,Men who have sex with men (MSM) with active syphilis (%),3.8
El Salvador,2013,Men who have sex with men (MSM) with active syphilis (%),5.3
El Salvador,2010,Men who have sex with men (MSM) with active syphilis (%),12.1
El Salvador,2008,Men who have sex with men (MSM) with active syphilis (%),6.2
Estonia,2018,Men who have sex with men (MSM) with active syphilis (%),5.5
Estonia,2014,Men who have sex with men (MSM) with active syphilis (%),6.8
Estonia,2013,Men who have sex with men (MSM) with active syphilis (%),4.7
Fiji,2010,Men who have sex with men (MSM) with active syphilis (%),26.46
France,2016,Men who have sex with men (MSM) with active syphilis (%),84
Gambia,2018,Men who have sex with men (MSM) with active syphilis (%),4.8
Georgia,2018,Men who have sex with men (MSM) with active syphilis (%),9.7
Georgia,2016,Men who have sex with men (MSM) with active syphilis (%),36.7
Georgia,2006,Men who have sex with men (MSM) with active syphilis (%),31.43
Germany,2016,Men who have sex with men (MSM) with active syphilis (%),8.1
Germany,2013,Men who have sex with men (MSM) with active syphilis (%),8.2
Germany,2010,Men who have sex with men (MSM) with active syphilis (%),8.1
Germany,2006,Men who have sex with men (MSM) with active syphilis (%),18.63
Ghana,2011,Men who have sex with men (MSM) with active syphilis (%),3.8
Guatemala,2018,Men who have sex with men (MSM) with active syphilis (%),8
Guatemala,2017,Men who have sex with men (MSM) with active syphilis (%),2.22
Guatemala,2016,Men who have sex with men (MSM) with active syphilis (%),7.5
Guatemala,2014,Men who have sex with men (MSM) with active syphilis (%),1.4
Guatemala,2013,Men who have sex with men (MSM) with active syphilis (%),1.2
Guatemala,2012,Men who have sex with men (MSM) with active syphilis (%),2.24
Guatemala,2011,Men who have sex with men (MSM) with active syphilis (%),0.71
Guatemala,2010,Men who have sex with men (MSM) with active syphilis (%),16.67
Guatemala,2008,Men who have sex with men (MSM) with active syphilis (%),3.02
Guinea,2017,Men who have sex with men (MSM) with active syphilis (%),2.6
Guinea-Bissau,2018,Men who have sex with men (MSM) with active syphilis (%),0
Guinea-Bissau,2010,Men who have sex with men (MSM) with active syphilis (%),2
Guyana,2014,Men who have sex with men (MSM) with active syphilis (%),1
Guyana,2008,Men who have sex with men (MSM) with active syphilis (%),10
Guyana,2005,Men who have sex with men (MSM) with active syphilis (%),10
Honduras,2018,Men who have sex with men (MSM) with active syphilis (%),7.6
Honduras,2017,Men who have sex with men (MSM) with active syphilis (%),6.2
Honduras,2016,Men who have sex with men (MSM) with active syphilis (%),4.3
Honduras,2014,Men who have sex with men (MSM) with active syphilis (%),4.5
Honduras,2013,Men who have sex with men (MSM) with active syphilis (%),9.3
Honduras,2012,Men who have sex with men (MSM) with active syphilis (%),5.56
Honduras,2010,Men who have sex with men (MSM) with active syphilis (%),12.86
Hungary,2010,Men who have sex with men (MSM) with active syphilis (%),4.36
India,2018,Men who have sex with men (MSM) with active syphilis (%),0.45
India,2017,Men who have sex with men (MSM) with active syphilis (%),0.4
India,2016,Men who have sex with men (MSM) with active syphilis (%),0.37
India,2014,Men who have sex with men (MSM) with active syphilis (%),0.3
India,2012,Men who have sex with men (MSM) with active syphilis (%),0.77
India,2008,Men who have sex with men (MSM) with active syphilis (%),3.26
Indonesia,2018,Men who have sex with men (MSM) with active syphilis (%),9.7
Indonesia,2017,Men who have sex with men (MSM) with active syphilis (%),7.7
Indonesia,2016,Men who have sex with men (MSM) with active syphilis (%),10.2
Indonesia,2014,Men who have sex with men (MSM) with active syphilis (%),16.4
Indonesia,2013,Men who have sex with men (MSM) with active syphilis (%),19.9
Indonesia,2012,Men who have sex with men (MSM) with active syphilis (%),21.92
Indonesia,2011,Men who have sex with men (MSM) with active syphilis (%),17.52
Indonesia,2010,Men who have sex with men (MSM) with active syphilis (%),8.01
Indonesia,2008,Men who have sex with men (MSM) with active syphilis (%),4.01
Italy,2010,Men who have sex with men (MSM) with active syphilis (%),9.14
Italy,2008,Men who have sex with men (MSM) with active syphilis (%),14.95
Jamaica,2018,Men who have sex with men (MSM) with active syphilis (%),30.5
Jamaica,2010,Men who have sex with men (MSM) with active syphilis (%),15
Jamaica,2008,Men who have sex with men (MSM) with active syphilis (%),5.47
Jordan,2008,Men who have sex with men (MSM) with active syphilis (%),1.82
Kazakhstan,2008,Men who have sex with men (MSM) with active syphilis (%),4.06
Kenya,2010,Men who have sex with men (MSM) with active syphilis (%),1.2
Kiribati,2017,Men who have sex with men (MSM) with active syphilis (%),4.1
Kiribati,2016,Men who have sex with men (MSM) with active syphilis (%),0
Kuwait,2016,Men who have sex with men (MSM) with active syphilis (%),3.8
Kyrgyzstan,2010,Men who have sex with men (MSM) with active syphilis (%),5.68
Kyrgyzstan,2008,Men who have sex with men (MSM) with active syphilis (%),12.99
Lao People's Democratic Republic,2016,Men who have sex with men (MSM) with active syphilis (%),0
Latvia,2008,Men who have sex with men (MSM) with active syphilis (%),1.59
Lebanon,2018,Men who have sex with men (MSM) with active syphilis (%),3.6
Lesotho,2017,Men who have sex with men (MSM) with active syphilis (%),5.6
Lesotho,2016,Men who have sex with men (MSM) with active syphilis (%),5.1
Lesotho,2014,Men who have sex with men (MSM) with active syphilis (%),5.1
Liberia,2013,Men who have sex with men (MSM) with active syphilis (%),1
Lithuania,2014,Men who have sex with men (MSM) with active syphilis (%),0.3
Lithuania,2010,Men who have sex with men (MSM) with active syphilis (%),1.85
Lithuania,2008,Men who have sex with men (MSM) with active syphilis (%),3.61
Madagascar,2016,Men who have sex with men (MSM) with active syphilis (%),6.1
Madagascar,2013,Men who have sex with men (MSM) with active syphilis (%),5.1
Madagascar,2010,Men who have sex with men (MSM) with active syphilis (%),5.4
Malawi,2016,Men who have sex with men (MSM) with active syphilis (%),9.4
Malawi,2014,Men who have sex with men (MSM) with active syphilis (%),9.37
Malaysia,2017,Men who have sex with men (MSM) with active syphilis (%),6
Malaysia,2016,Men who have sex with men (MSM) with active syphilis (%),16
Malaysia,2011,Men who have sex with men (MSM) with active syphilis (%),0
Maldives,2008,Men who have sex with men (MSM) with active syphilis (%),0
Malta,2016,Men who have sex with men (MSM) with active syphilis (%),3.9
Mauritania,2014,Men who have sex with men (MSM) with active syphilis (%),8.6
Mauritius,2016,Men who have sex with men (MSM) with active syphilis (%),14.2
Mauritius,2010,Men who have sex with men (MSM) with active syphilis (%),5.8
Mexico,2018,Men who have sex with men (MSM) with active syphilis (%),12.9
Mexico,2017,Men who have sex with men (MSM) with active syphilis (%),30
Mexico,2016,Men who have sex with men (MSM) with active syphilis (%),14.8
Mexico,2014,Men who have sex with men (MSM) with active syphilis (%),9.5
Mexico,2012,Men who have sex with men (MSM) with active syphilis (%),10.02
Mexico,2011,Men who have sex with men (MSM) with active syphilis (%),14.58
Mongolia,2017,Men who have sex with men (MSM) with active syphilis (%),9.2
Mongolia,2016,Men who have sex with men (MSM) with active syphilis (%),7.1
Mongolia,2014,Men who have sex with men (MSM) with active syphilis (%),7.1
Mongolia,2013,Men who have sex with men (MSM) with active syphilis (%),4.1
Mongolia,2012,Men who have sex with men (MSM) with active syphilis (%),4.08
Mongolia,2011,Men who have sex with men (MSM) with active syphilis (%),4.59
Mongolia,2010,Men who have sex with men (MSM) with active syphilis (%),5.39
Mongolia,2008,Men who have sex with men (MSM) with active syphilis (%),11.02
Morocco,2017,Men who have sex with men (MSM) with active syphilis (%),8.9
Morocco,2011,Men who have sex with men (MSM) with active syphilis (%),8.3
Morocco,2010,Men who have sex with men (MSM) with active syphilis (%),16.84
Morocco,2008,Men who have sex with men (MSM) with active syphilis (%),23.33
Myanmar,2018,Men who have sex with men (MSM) with active syphilis (%),22.3
Myanmar,2017,Men who have sex with men (MSM) with active syphilis (%),13.5
Myanmar,2016,Men who have sex with men (MSM) with active syphilis (%),12.2
Myanmar,2014,Men who have sex with men (MSM) with active syphilis (%),4.4
Myanmar,2013,Men who have sex with men (MSM) with active syphilis (%),3.3
Myanmar,2012,Men who have sex with men (MSM) with active syphilis (%),3.28
Myanmar,2011,Men who have sex with men (MSM) with active syphilis (%),2.5
Myanmar,2008,Men who have sex with men (MSM) with active syphilis (%),14
Nepal,2017,Men who have sex with men (MSM) with active syphilis (%),1.9
Nepal,2016,Men who have sex with men (MSM) with active syphilis (%),0.5
Nepal,2012,Men who have sex with men (MSM) with active syphilis (%),0.8
Nepal,2010,Men who have sex with men (MSM) with active syphilis (%),1.5
Nepal,2009,Men who have sex with men (MSM) with active syphilis (%),1.5
Nepal,2008,Men who have sex with men (MSM) with active syphilis (%),2.3
Netherlands,2010,Men who have sex with men (MSM) with active syphilis (%),2.29
Netherlands,2008,Men who have sex with men (MSM) with active syphilis (%),3.91
Nicaragua,2018,Men who have sex with men (MSM) with active syphilis (%),2.6
Nicaragua,2016,Men who have sex with men (MSM) with active syphilis (%),2.2
Nicaragua,2014,Men who have sex with men (MSM) with active syphilis (%),5.5
